Matvare,Kilokalorier,Fett,Karbohydrat,Protein,% Spiselig,Kategori,underkategori
"Agurk, norsk, rå",10,"0,1","1,2","0,8",97,Grønnsaker,Tomat/agurk/paprika
"Agurker, syltede",37,"0,7","6,1","0,7",100,Grønnsaker,Tomat/agurk/paprika
"Akkar, tiarmet blekksprut, rå",77,"1,7",0,"15,4",78,Sjømat,Skjell/bløtdyr
"Alaska pollock, rå",72,"0,7",0,"16,4",78,Sjømat,Fisk
"Alfalfaspirer, rå",27,"0,7","0,3",4,100,Grønnsaker,diverse
"Ananas, hermetisk, med egen saft",51,0,"12,2","0,3",100,Frukt/Bær,Frukt
"Ananas, hermetisk, med sukkerlake",69,0,"16,5","0,5",100,Frukt/Bær,Frukt
"Ananas, rå",51,"0,1","11,4","0,5",51,Frukt/Bær,Frukt
Ananasjuice,50,"0,1","11,8","0,4",100,Drikke,Juice
"And, kjøtt med skinn, rå",388,"37,3",0,"13,1",100,Kjøtt,Fugl
"Ansjos, hermetisk",216,"13,1","12,1","12,5",100,Pålegg,Fisk
"Appelsin, rå",37,"0,1","7,2","0,9",78,Frukt/Bær,Frukt
Appelsinjuice,43,"0,2","9,6","0,7",100,Drikke,Juice
"Aprikos, hermetisk, med sukkerlake",70,0,"16,1","0,5",100,Frukt/Bær,Frukt
"Aprikos, rå",52,"0,4","9,7","1,4",93,Frukt/Bær,Frukt
"Aprikos, tørket",181,"0,5","39,4","2,2",100,Frukt/Bær,Frukt
"Artiskokk, rå",28,"0,2","1,3","2,8",43,Grønnsaker,diverse
"Asparges, hermetisk, avrent",24,"0,6","1,6","2,1",100,Grønnsaker,diverse
"Asparges, rå",22,"0,1",2,"2,2",53,Grønnsaker,diverse
"Aspargesbønner, rå",27,"0,1","3,4","1,7",100,Grønnsaker,Bønner/erter
"Aubergine, rå",20,"0,1","2,5","1,1",81,Grønnsaker,diverse
"Avocado, rå",191,"19,6","0,4","1,8",74,Grønnsaker,diverse
"Baguette, fin, halvstekt, stekt",260,"1,4","50,6","9,9",100,Brødmat,Brød
"Banan, rå",83,"0,3","18,1","1,1",66,Frukt/Bær,Frukt
"Bankekjøtt, salt",102,"4,3",0,"15,9",100,Kjøtt,Storfe
"Basilikum, rå",21,"0,6",0,"3,2",64,Grønnsaker,Krydder/urter
