Navn,Kcal,Kategori
"Svin, bacon med svor, rå",339,kjøtt
"Svin, bogstek, kjøtt uten fettrand, rå",144,kjøtt
"Svin, bogstek, med fettrand, rå",220,kjøtt
"Svin, familieribbe, rå",328,kjøtt
"Svin, fettrand, rå",741,kjøtt
"Svin, flatbiff, rå",103,kjøtt
"Svin, grillben, rå",247,kjøtt
"Svin, indrefilet, rå",116,kjøtt
"Svin, kjøtt fra knoke, rå",151,kjøtt
"Svin, kotelett, kam, svinekotelett, uten fettrand, rå",168,kjøtt
"Svin, kotelett, kam, svinekoteletter, inntil 5 mm fettrand, rå",243,kjøtt
"Svin, midtribbe, med kam og svor, rå",328,kjøtt
"Svin, mørbrad, rå",215,kjøtt
"Svin, nakkekoteletter, rå",225,kjøtt
"Svin, sideflesk, lettsaltet, rå",301,kjøtt
"Svin, sideflesk, uten ben, rå",384,kjøtt
"Svin, skinke, med knoke, rå",219,kjøtt
"Svin, skinkestek med fettrand, uten svor, rå",221,kjøtt
"Svin, skinkestek, rå",130,kjøtt
"Svin, tynnribbe, med svor, rå",371,kjøtt
"Svin, ytrefilet, rå",110,kjøtt
"Svin, bacon med svor, stekt",452,kjøtt
"Svin, familieribbe, stekt",468,kjøtt
"Svin, flatbiff, stekt",138,kjøtt
"Svin, koteletter, kam med fettrand, stekt",348,kjøtt
"Svin, koteletter, kam uten fettrand, stekt",240,kjøtt
"Svin, nakkekoteletter, stekt",321,kjøtt
"Svin, sideflesk, lettsaltet, stekt",451,kjøtt
"Svin, stek uten fettrand, ovnsstekt",186,kjøtt
"Svin, stek, med fettrand, ovnsstekt",313,kjøtt
"Blod, okse, rå",77,kjøttdeig mm.
"Elg, ytterlår, stek, rå",100,kjøttdeig mm.
"Hamburger, rå",167,kjøttdeig mm.
"Hare, kjøtt, rå",129,kjøttdeig mm.
"Hjerte, rå",107,kjøttdeig mm.
"Hjort, stek, rå",98,kjøttdeig mm.
"Hval, kjøtt, rå",120,kjøttdeig mm.
"Kanin, kjøtt, rå",124,kjøttdeig mm.
"Karbonadedeig, rå",103,kjøttdeig mm.
"Karbonadedeig, stekt uten fett",193,kjøttdeig mm.
"Kjøttdeig, kylling, rå",145,kjøttdeig mm.
"Kjøttdeig, storfe, stekt uten fett",288,kjøttdeig mm.
"Kjøttdeig, storfe, med salt og vann, rå",185,kjøttdeig mm.
"Kjøttdeig, storfe, uten salt og vann, rå",196,kjøttdeig mm.
"Kjøttdeig, svin, rå",144,kjøttdeig mm.
"Kjøttdeig, svin, stekt uten fett",202,kjøttdeig mm.
"Kjøttfarse, rå",165,kjøttdeig mm.
"Lever, kylling, rå",113,kjøttdeig mm.
"Lever, lam, rå",128,kjøttdeig mm.
"Lever, rein, rå",128,kjøttdeig mm.
"Lever, storfe, rå",124,kjøttdeig mm.
"Lever, svin, rå",120,kjøttdeig mm.
"Medisterdeig, rå",206,kjøttdeig mm.
"Reinsdyr, bog, stek, rå",118,kjøttdeig mm.
"Rådyr, kjøtt, rå",95,kjøttdeig mm.
"Villsvin, kjøtt, rå",105,kjøttdeig mm.
"Wienersnitzel, rå",244,kjøttdeig mm.
Blodpudding,369,kjøtt
"Bogskinke, hermetisk",135,kjøtt
"Elg, stek, ovnsstekt",143,kjøtt
"Kjøttboller, hermetisk",138,kjøtt
"Kjøttkaker, stekt",199,kjøtt
"Lungemos, kjøpt",120,kjøtt
"Reinsdyr, kjøtt, røkt",114,kjøtt
"Reinsdyr, kjøtt, tørket, rå",318,kjøtt
"Reinsdyrkaker, hermetisk",151,kjøtt
"Reinsdyrskav, fryst, rå",145,kjøtt
"Chorizo, pølse",360,pølse
Falukorv,257,pølse
Fleskepølse,366,pølse
Fårepølse,339,pølse
Grillpølse,261,pølse
"Grillpølse, kalkun og kylling",193,pølse
"Grillpølse, med mindre fett",161,pølse
"Kjøttpølse, med mindre fett",191,pølse
"Kjøttpølse, røkt/urøkt",209,pølse
Knakkpølse,256,pølse
"Kylling- og kalkunpølse, med mindre fett",168,pølse
"Kylling- og kalkunpølse, med ost",201,pølse
"Medisterpølse, røkt/urøkt, kokt",265,pølse
"Ostegrill, ostewiener",245,pølse
Reinsdyrpølse,426,pølse
"Salsiccia, italiensk pølse",271,pølse
"Sosisser, små pølser",258,pølse
Wienerpølse,256,pølse
"Wienerpølse, med mindre fett",160,pølse
"Bayonneskinke, kokt",228,kjøtt/pålegg
"Kalkunfilet, naturell/røkt",88,kjøtt/pålegg
"Kalkunrull, krydderskinke",100,kjøtt/pålegg
Kalverull,144,kjøtt/pålegg
"Karbonader, okse, rå",206,kjøtt/pålegg
